"price_system","component","pre","post","change_post_minus_pre"
"Male price","observed_sorting_gap",0.000306610573925205,-6.62612240144861e-05,-0.000372871797939692
"Male price","model_sorting_gap",0.000939110573160791,-0.00605155519937369,-0.00699066577253448
"Male price","preference_component",-0.000379808012212673,0.00140728681428187,0.00178709482649455
"Male price","opportunity_component",0.000444675377196562,-0.00483672483196985,-0.00528140020916642
"Male price","interaction_component",0.000874243208176901,-0.00262211718168571,-0.00349636038986261
"Female price","observed_sorting_gap",-0.000664370054901385,7.98140970489322e-05,0.000744184151950317
"Female price","model_sorting_gap",0.00310508917040491,0.00038966664565338,-0.00271542252475153
"Female price","preference_component",-0.00134841540640934,-0.00129297367635522,5.54417300541253e-05
"Female price","opportunity_component",0.00351530199763609,0.000261222305191235,-0.00325407969244485
"Female price","interaction_component",0.000938202579178159,0.00142141801681736,0.000483215437639203
